id;name;logo
XVN_RS;15 de Novembro-RS;
ABC_RN;ABC-RN;https://ssl.gstatic.com/onebox/media/sports/logos/3F5mqKWA4_qE8e-gvp5F-g_48x48.png
ADP_PR;ADAP-PR;
ADE_AC;ADESG-AC;
AGN_MS;Águia Negra-MS;
AMA_AP;Amapá;
AME_MG;América-MG;https://ssl.gstatic.com/onebox/media/sports/logos/ZFsHqGsKNQPlCQjZ4Lu-EQ_48x48.png
AME_RJ;América-RJ;
AME_RN;América-RN;https://ssl.gstatic.com/onebox/media/sports/logos/OdQJxRXXp2gxKWl7JkPsmw_48x48.png
AME_SE;América-SE;
AME_SP;América-SP;
AMC_RJ;Americano-RJ;
ANA_PA;Ananindeua-PA;
ANA_GO;Anapolina-GO;
ARA_TO;Araguaína-TO;
ASA_AL;ASA-AL;https://ssl.gstatic.com/onebox/media/sports/logos/-p2iUBYkc2yF3PyLo128-A_48x48.png
ATH_PR;Athletico-PR;https://ssl.gstatic.com/onebox/media/sports/logos/LtpA9v-CQ_Qs2bgWVdDXxQ_48x48.png
ATA_BA;Atlético de Alagoinhas-BA;
ATC_PB;Atlético de Cajazeiras-PB;
ATL_GO;Atlético-GO;https://ssl.gstatic.com/onebox/media/sports/logos/9mqMGndwoR9og_Z0uEl2kw_48x48.png
ATL_MG;Atlético-MG;https://ssl.gstatic.com/onebox/media/sports/logos/q9fhEsgpuyRq58OgmSndcQ_48x48.png
AVA_SC;Avaí;https://ssl.gstatic.com/onebox/media/sports/logos/9cwCmoBXGaPJ_Q5cgUeocg_48x48.png
BAH_BA;Bahia;https://ssl.gstatic.com/onebox/media/sports/logos/nIdbR6qIUDyZUBO9vojSPw_48x48.png
BAR_RN;Baraúnas-RN;
BAR_RR;Baré-RR;
BRG_MT;Barra do Garças-MT;
BAR_PI;Barras-PI;
BOT_RJ;Botafogo;https://ssl.gstatic.com/onebox/media/sports/logos/KLDWYp-H8CAOT9H_JgizRg_48x48.png
BOT_DF;Botafogo-DF;
BOT_PB;Botafogo-PB;https://ssl.gstatic.com/onebox/media/sports/logos/WLhb3itO6YZggpeIFkTqnA_48x48.png
RBB_SP;Bragantino;https://ssl.gstatic.com/onebox/media/sports/logos/lMyw2zn1Z4cdkaxKJWnsQw_48x48.png
BRA_RS;Brasil-RS;
BRA_DF;Brasiliense;
CAB_RJ;Cabofriense-RJ;
CAC_MT;Cacerense-MT;
CAM_PB;Campinense-PB;
CAX_RS;Caxias-RS;https://ssl.gstatic.com/onebox/media/sports/logos/pcaKCn2_lq0vUa7SESw_wQ_48x48.png
CEA_CE;Ceará;https://ssl.gstatic.com/onebox/media/sports/logos/mSl0cz3i2t8uv4zcprobOg_48x48.png
CEI_DF;Ceilândia-DF;
CEN_MS;CENE-MS;
CEN_PE;Central-PE;
CHA_SC;Chapecoense;https://ssl.gstatic.com/onebox/media/sports/logos/cZ4ga5Fdqe3Pd-dEcpjUmg_48x48.png
COL_TO;Colinas-TO;
COL_BA;Colo Colo-BA;
CON_SE;Confiança-SE;https://ssl.gstatic.com/onebox/media/sports/logos/LDxXug_0TbPTd0iUPHaJrg_48x48.png
COR_SP;Corinthians;https://ssl.gstatic.com/onebox/media/sports/logos/tCMSqgXVHROpdCpQhzTo1g_48x48.png
CTB_PR;Coritiba;https://ssl.gstatic.com/onebox/media/sports/logos/LaFlBADLmsjHfGTehCYtuA_48x48.png
COR_AL;Coruripe-AL;
COX_MS;Coxim-MS;
CRC_GO;CRAC-GO;https://ssl.gstatic.com/onebox/media/sports/logos/DLrp9iYF3nrzuEs2dmZPXA_48x48.png
CRB_AL;CRB-AL;https://ssl.gstatic.com/onebox/media/sports/logos/zEM-aepnkjTSoBMW9LH_Qw_48x48.png
CRI_SC;Criciúma;https://ssl.gstatic.com/onebox/media/sports/logos/u_L7Mkp33uNmFTv3uUlXeQ_48x48.png
CRU_MG;Cruzeiro;https://ssl.gstatic.com/onebox/media/sports/logos/cfkLbPGt7TD_FSDotajcbA_48x48.png
CSA_AL;CSA;https://ssl.gstatic.com/onebox/media/sports/logos/xQkyuz2y935JX0uIi9w6Lg_48x48.png
CUI_MT;Cuiabá;https://ssl.gstatic.com/onebox/media/sports/logos/j6U8Rgt_6yyf0Egs9nREXw_48x48.png
DGV_MG;Democrata GV-MG;
ESP_RS;Esportivo-RS;
EST_ES;Estrela do Norte-ES;
FAS_AM;Fast Clube-AM;
FER_SP;Ferroviária-SP;
FER_CE;Ferroviário-CE;
FIG_SC;Figueirense;https://ssl.gstatic.com/onebox/media/sports/logos/BvJRLFf6J6ZcpQfZppP2_A_48x48.png
FLA_RJ;Flamengo;https://ssl.gstatic.com/onebox/media/sports/logos/orE554NToSkH6nuwofe7Yg_48x48.png
FLA_PI;Flamengo-PI;
FLU_RJ;Fluminense;https://ssl.gstatic.com/onebox/media/sports/logos/fCMxMMDF2AZPU7LzYKSlig_48x48.png
FOR_CE;Fortaleza;https://ssl.gstatic.com/onebox/media/sports/logos/me10ephzRxdj45zVq1Risg_48x48.png
FRI_RJ;Friburguense-RJ;
GAM_DF;Gama-DF;
GOI_GO;Goiás;https://ssl.gstatic.com/onebox/media/sports/logos/gb8bo2x00XsbvsVp9nGniA_48x48.png
GRE_RS;Grêmio;https://ssl.gstatic.com/onebox/media/sports/logos/Ku-73v_TW9kpex-IEGb0ZA_48x48.png
GRB_SP;Grêmio Barueri-SP;
GCO_AM;Grêmio Coariense-AM;
GRP_SP;Grêmio Prudente;
GUA_SP;Guarani;https://ssl.gstatic.com/onebox/media/sports/logos/fxJElzuqyxKVwsUcfsC49Q_48x48.png
HEA_SC;Hermann Aichinger-SC;
ICA_CE;Icasa-CE;https://ssl.gstatic.com/onebox/media/sports/logos/w4D5PzbUJtk6aY4pRA9tsA_48x48.png
IMP_MA;Imperatriz-MA;https://ssl.gstatic.com/onebox/media/sports/logos/uxMV58_lprmuyMifBxmz2g_48x48.png
INT_RS;Internacional;https://ssl.gstatic.com/onebox/media/sports/logos/OWVFKuHrQuf4q2Wk0hEmSA_48x48.png
IPA_MG;Ipatinga-MG;
IPI_BA;Ipitanga-BA;
IRA_PR;Iraty-PR;
ITA_SE;Itabaiana-SE;
ITA_CE;Itapipoca-CE;
ITU_SP;Ituano-SP;https://ssl.gstatic.com/onebox/media/sports/logos/d_-UoAOHszNZufgbaFSLXQ_48x48.png
ITU_MG;Ituiutaba-MG;
ITU_GO;Itumbiara-GO;
JMA_PR;J. Malucelli-PR;
JAC_MT;Jaciara-MT;
JAG_ES;Jaguaré-ES;
JAR_RO;Jaruense-RO;
JAT_GO;Jataiense-GO;
JOI_SC;Joinville;https://ssl.gstatic.com/onebox/media/sports/logos/m9r3ew7joIpgg_7l9ik7VA_48x48.png
JUV_RS;Juventude;https://ssl.gstatic.com/onebox/media/sports/logos/JrXw-m4Dov0gE2Sh6XJQMQ_48x48.png
JUV_SP;Juventus-SP;
LIN_ES;Linhares-ES;
LON_PR;Londrina;https://ssl.gstatic.com/onebox/media/sports/logos/e7TVDQHlKXSPLpNT58XzBA_48x48.png
LUZ_DF;Luziânia-DF;
MAD_RJ;Madureira-RJ;https://ssl.gstatic.com/onebox/media/sports/logos/flJKormLpp86cWMgLK7QHg_48x48.png
MAR_MA;Maranhão;
MAD_SC;Marcílio Dias-SC;
MAR_SP;Marília-SP;https://ssl.gstatic.com/onebox/media/sports/logos/fW4TLamN3QhiNUxkutyhJQ_48x48.png
MIN_GO;Mineiros-GO;
MIX_MT;Mixto-MT;
MTC_MA;Moto Club-MA;https://ssl.gstatic.com/onebox/media/sports/logos/X5on_Cx9L9o8cUSeKZl3zw_48x48.png
NAC_AM;Nacional-AM;
NAC_PB;Nacional-PB;
NAU_PE;Náutico;https://ssl.gstatic.com/onebox/media/sports/logos/ShnE2eI_Q37QTEvvQCopqg_48x48.png
NOR_SP;Noroeste-SP;
NVH_RS;Novo Hamburgo-RS;
OVG_MT;Operário VG-MT;
OPE_MS;Operário-MS;
OPE_MT;Operário-MT;
PAL_SP;Palmeiras;https://ssl.gstatic.com/onebox/media/sports/logos/7spurne-xDt2p6C0imYYNA_48x48.png
PAR_PR;Paraná;https://ssl.gstatic.com/onebox/media/sports/logos/g_pK1vKk8tVNEbr_-fYlug_48x48.png
PRN_PR;Paranavaí-PR;
PAR_PI;Parnahyba-PI;
PAU_SP;Paulista-SP;
PAY_PA;Paysandu;https://ssl.gstatic.com/onebox/media/sports/logos/1aw29215gcFtsyu07fCifw_48x48.png
PIA_PI;Piauí;
PIR_SE;Pirambu-SE;
POC_BA;Poções-BA;
PTP_SP;Ponte Preta;https://ssl.gstatic.com/onebox/media/sports/logos/0e4mOPeQPUipr9oh54-7NQ_48x48.png
POR_PE;Porto-PE;
POR_SP;Portuguesa-SP;https://ssl.gstatic.com/onebox/media/sports/logos/a9BSJk9BywwXNj4LJPq5jg_48x48.png
POT_RN;Potiguar-RN;
REM_PA;Remo;https://ssl.gstatic.com/onebox/media/sports/logos/bENrK5iSMF6sXrEkDNNxng_48x48.png
RBR_AC;Rio Branco-AC;
RBC_PR;Rio Branco-PR;
RBC_SP;Rio Branco-SP;
RNO_AM;Rio Negro-AM;
RIV_PI;River-PI;https://ssl.gstatic.com/onebox/media/sports/logos/SfgaI3aGTzKkqHH_g0RmyA_48x48.png
ROM_PR;Roma-PR;
SAM_MA;Sampaio Corrêa-MA;https://ssl.gstatic.com/onebox/media/sports/logos/G52t9iE9YvNjIKh-8xyHGg_48x48.png
SCZ_PE;Santa Cruz;https://ssl.gstatic.com/onebox/media/sports/logos/NWbDR2-iD5-EjMZOEbKlJw_48x48.png
STA_SP;Santo André-SP;https://ssl.gstatic.com/onebox/media/sports/logos/gvCb4nd1fAVkf4U3_smQtw_48x48.png
SAN_SP;Santos;https://ssl.gstatic.com/onebox/media/sports/logos/VHdNOT6wWOw_vJ38GMjMzg_48x48.png
SCA_SP;São Caetano-SP;https://ssl.gstatic.com/onebox/media/sports/logos/yqZ-C7aHxZIRDdwCo_dRdA_48x48.png
SAJ_AP;São José-AP;
SAO_SP;São Paulo;https://ssl.gstatic.com/onebox/media/sports/logos/4w2Z97Hf9CSOqICK3a8AxQ_48x48.png
SRA_AM;São Raimundo-AM;
SRA_RR;São Raimundo-RR;
SER_MS;SERC-MS;
SER_SE;Sergipe;
SER_ES;Serra-ES;
SER_SP;Sertãozinho-SP;
SPO_PE;Sport;https://ssl.gstatic.com/onebox/media/sports/logos/u9Ydy0qt6JJjWhTaI6r10A_48x48.png
TRE_PB;Treze-PB;https://ssl.gstatic.com/onebox/media/sports/logos/jezs6er51UtV69Fqi0IJtw_48x48.png
TUN_PA;Tuna Luso-PA;
TUP_MG;Tupi-MG;
ULB_RO;ULBRA-RO;
ULB_RS;ULBRA-RS;
UBA_SP;União Barbarense-SP;
URT_MG;URT-MG;
VAS_RJ;Vasco;https://ssl.gstatic.com/onebox/media/sports/logos/_4RUqwd5euAxf0MtbPwq4A_48x48.png
VCZ_PE;Vera Cruz-PE;
VER_RS;Veranópolis-RS;
VLA_MT;Vila Aurora-MT;
VIL_GO;Vila Nova-GO;https://ssl.gstatic.com/onebox/media/sports/logos/v3upsCABZm2skuxyszzvwg_48x48.png
VLV_ES;Vilavelhense-ES;
VIL_RO;Vilhena-RO;
VIL_MG;Villa Nova-MG;
VIT_BA;Vitória;https://ssl.gstatic.com/onebox/media/sports/logos/LHSM6VchpkI4NIptoSTHOg_48x48.png
VIT_ES;Vitória-ES;
VLR_RJ;Volta Redonda-RJ;https://ssl.gstatic.com/onebox/media/sports/logos/DsXF0mAUd6L0JjRhOwsr2w_48x48.png
YPI_PE;Ypiranga-PE;